family	father	mother	children	childNum	gender	childHeight
1	78.5	67	4	1	male	73.2
1	78.5	67	4	2	female	69.2
1	78.5	67	4	3	female	69
1	78.5	67	4	4	female	69
2	75.5	66.5	4	1	male	73.5
2	75.5	66.5	4	2	male	72.5
2	75.5	66.5	4	3	female	65.5
2	75.5	66.5	4	4	female	65.5
3	75	64	2	1	male	71
3	75	64	2	2	female	68
4	75	64	5	1	male	70.5
4	75	64	5	2	male	68.5
4	75	64	5	3	female	67
4	75	64	5	4	female	64.5
4	75	64	5	5	female	63
5	75	58.5	6	1	male	72
5	75	58.5	6	2	male	69
5	75	58.5	6	3	male	68
5	75	58.5	6	4	female	66.5
5	75	58.5	6	5	female	62.5
5	75	58.5	6	6	female	62.5
6	74	68	1	1	female	69.5
7	74	68	6	1	male	76.5
7	74	68	6	2	male	74
7	74	68	6	3	male	73
7	74	68	6	4	male	73
7	74	68	6	5	female	70.5
7	74	68	6	6	female	64
8	74	66.5	3	1	female	70.5
8	74	66.5	3	2	female	68
8	74	66.5	3	3	female	66
9	74.5	66	1	1	female	66
10	74	65.5	1	1	female	65.5
11	74	62	8	1	male	74
11	74	62	8	2	male	70
11	74	62	8	3	female	68
11	74	62	8	4	female	67
11	74	62	8	5	female	67
11	74	62	8	6	female	66
11	74	62	8	7	female	63.5
11	74	62	8	8	female	63
12	74	61	1	1	female	65
13	73	67	2	1	male	71
13	73	67	2	2	female	62
14	73	67	2	1	male	68
14	73	67	2	2	male	67
15	73	66.5	3	1	male	71
15	73	66.5	3	2	male	70.5
15	73	66.5	3	3	female	66.7
16	73	65	9	1	male	72
16	73	65	9	2	male	70.5
16	73	65	9	3	male	70.2
16	73	65	9	4	male	70.2
16	73	65	9	5	male	69.2
16	73	65	9	6	female	68.7
16	73	65	9	7	female	66.5
16	73	65	9	8	female	64.5
16	73	65	9	9	female	63.5
17	73	64.5	6	1	male	74
17	73	64.5	6	2	male	73
17	73	64.5	6	3	male	71.5
17	73	64.5	6	4	male	62.5
17	73	64.5	6	5	female	66.5
17	73	64.5	6	6	female	62.3
18	73	64	3	1	female	66
18	73	64	3	2	female	64.5
18	73	64	3	3	female	64
19	73.2	63	1	1	female	62.7
20	72.7	69	8	1	male	73.2
20	72.7	69	8	2	male	73
20	72.7	69	8	3	male	72.7
20	72.7	69	8	4	female	70
20	72.7	69	8	5	female	69
20	72.7	69	8	6	female	68.5
20	72.7	69	8	7	female	68
20	72.7	69	8	8	female	66
